"Age_yrs_b2k" "norm_units"
37975 0.402
38000 0.375
38025 0.582
38050 0.497
38075 0.54
38100 0.607
38125 0.692
38150 0.629
38175 0.544
38200 0.461
38225 0.134
38250 -0.137
38275 -0.257
38300 -0.224
38325 -0.175
38350 -0.201
38375 -0.234
38400 -0.275
38425 -0.298
38450 -0.284
38475 -0.354
38500 -0.491
38525 -0.486
38550 -0.416
38575 -0.386
38600 -0.368
38625 -0.591
38650 -0.706
38675 -0.433
38700 -0.375
38725 -0.682
38750 -0.773
38775 -0.693
38800 -0.639
38825 -0.6
38850 -0.594
38875 -0.597
38900 -0.61
38925 -0.624
38950 -0.623
38975 -0.572
39000 -0.433
39025 -0.42
39050 -0.502
39075 -0.547
39100 -0.574
39125 -0.58
39150 -0.586
39175 -0.712
39200 -0.77
39225 -0.607
39250 -0.506
39275 -0.508
39300 -0.492
39325 -0.467
39350 -0.619
39375 -0.842
39400 -0.815
39425 -0.761
39450 -0.691
39475 -0.666
39500 -0.776
39525 -0.767
39550 -0.573
39575 -0.461
39600 -0.405
39625 -0.453
39650 -0.535
39675 -0.496
39700 -0.447
39725 -0.505
39750 -0.549
39775 -0.565
39800 -0.578
39825 -0.594
39850 -0.528
39875 -0.406
39900 -0.332
39925 -0.279
39950 -0.16
39975 -0.056
40000 -0.151
40025 -0.199
40050 -0.088
40075 0.071
40100 0.307
40125 0.194
40150 -0.164
40175 -0.319
40200 -0.402
40225 -0.517
40250 -0.567
40275 -0.341
40300 -0.23
40325 -0.29
40350 -0.355
40375 -0.429
40400 -0.385
40425 -0.345
40450 -0.401
40475 -0.413
40500 -0.34
40525 -0.349
40550 -0.405
40575 -0.512
40600 -0.624
40625 -0.712
40650 -0.658
40675 -0.302
40700 -0.32
40725 -0.652
40750 -0.688
40775 -0.645
40800 -0.515
40825 -0.373
40850 -0.186
40875 -0.167
40900 -0.311
40925 -0.321
40950 -0.284
40975 -0.25
41000 -0.107
41025 -0.015
41050 0.053
41075 0.161
41100 0.087
41125 0.017
41150 -0.017
41175 -0.058
41200 0.034
41225 0.122
41250 -0.001
41275 0.033
41300 0.229
41325 0.254
41350 0.228
41375 0.243
41400 0.285
41425 0.369
41450 0.414
41475 0.371
41500 0.282
41525 0.141
41550 -0.043
41575 -0.252
41600 -0.246
41625 -0.211
41650 -0.334
41675 -0.439
41700 -0.451
41725 -0.518
41750 -0.669
41775 -0.628
41800 -0.419
41825 -0.471
41850 -0.622
41875 -0.542
41900 -0.449
41925 -0.645
41950 -0.788
41975 -0.776
42000 -0.688
42025 -0.496
42050 -0.47
42075 -0.568
42100 -0.695
42125 -0.835
42150 -0.754
42175 -0.646
42200 -0.408
42225 -0.282
42250 -0.427
42275 -0.346
42300 -0.086
42325 0.06
42350 0.037
42375 -0.177
42400 -0.205
42425 -0.198
42450 -0.146
42475 -0.214
42500 -0.266
42525 -0.268
42550 -0.066
42575 0.01
42600 -0.207
42625 -0.159
42650 -0.119
42675 -0.206
42700 0.021
42725 0.164
42750 0.112
42775 0.217
42800 0.163
42825 0.052
42850 0.133
