"Age_yrs_b2k" "norm_units" "error"
21150 0.017 0.055
21175 0.02 0.058
21200 0.015 0.07
21225 -0.01 0.08
21250 -0.028 0.087
21275 -0.032 0.088
21300 -0.024 0.091
21325 -0.007 0.092
21350 -0.009 0.091
21375 -0.03 0.091
21400 -0.058 0.088
21425 -0.077 0.082
21450 -0.089 0.073
21475 -0.094 0.067
21500 -0.097 0.065
21525 -0.09 0.063
21550 -0.085 0.063
21575 -0.079 0.063
21600 -0.074 0.063
21625 -0.068 0.063
21650 -0.069 0.064
21675 -0.063 0.064
21700 -0.057 0.065
21725 -0.056 0.064
21750 -0.051 0.064
21775 -0.047 0.065
21800 -0.039 0.068
21825 -0.038 0.073
21850 -0.033 0.086
21875 -0.02 0.095
21900 -0.029 0.101
21925 -0.041 0.112
21950 -0.077 0.113
21975 -0.116 0.112
22000 -0.138 0.099
22025 -0.147 0.089
22050 -0.151 0.082
22075 -0.153 0.077
22100 -0.15 0.077
22125 -0.141 0.079
22150 -0.122 0.08
22175 -0.098 0.08
22200 -0.076 0.076
22225 -0.066 0.07
22250 -0.059 0.064
22275 -0.058 0.062
22300 -0.064 0.062
22325 -0.07 0.062
22350 -0.079 0.062
22375 -0.082 0.06
22400 -0.085 0.061
22425 -0.086 0.065
22450 -0.078 0.067
22475 -0.066 0.068
22500 -0.052 0.069
22525 -0.041 0.069
22550 -0.031 0.07
22575 -0.025 0.074
22600 -0.034 0.08
22625 -0.058 0.083
22650 -0.078 0.082
22675 -0.093 0.076
22700 -0.1 0.07
22725 -0.099 0.067
22750 -0.096 0.068
22775 -0.085 0.069
22800 -0.074 0.072
22825 -0.057 0.072
22850 -0.046 0.074
22875 -0.033 0.075
22900 -0.03 0.078
22925 -0.021 0.084
22950 -0.017 0.086
22975 -0.011 0.096
23000 -0.02 0.105
23025 -0.051 0.119
23050 -0.088 0.12
23075 -0.109 0.116
23100 -0.102 0.113
23125 -0.083 0.107
23150 -0.062 0.096
23175 -0.053 0.084
23200 -0.05 0.072
23225 -0.05 0.064
23250 -0.054 0.059
23275 -0.052 0.059
23300 -0.053 0.063
23325 -0.048 0.071
23350 -0.038 0.08
23375 -0.025 0.084
23400 -0.014 0.084
23425 -0.005 0.08
23450 0.003 0.079
23475 0.013 0.077
23500 0.021 0.075
23525 0.028 0.071
23550 0.029 0.071
23575 0.026 0.077
23600 0.013 0.081
23625 -0.011 0.076
23650 -0.023 0.072
23675 -0.023 0.069
23700 -0.03 0.07
23725 -0.048 0.073
